"filename", "language", "Markdown", "Properties", "log", "Python", "C++", "Shell Script", "x86 and x86_64 Assembly", "comment", "blank", "total"
"/home/fenn/Desktop/AlopexOS/AlopexOSCxxPhilosophy.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 23, 47
"/home/fenn/Desktop/AlopexOS/Contributors.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/fenn/Desktop/AlopexOS/LICENSE.md", "Markdown", 27, 0, 0, 0, 0, 0, 0, 0, 10, 37
"/home/fenn/Desktop/AlopexOS/README.md", "Markdown", 39, 0, 0, 0, 0, 0, 0, 0, 24, 63
"/home/fenn/Desktop/AlopexOS/build_and_run.sh", "Shell Script", 0, 0, 0, 0, 0, 50, 0, 8, 10, 68
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/ACPI/acpi.hpp", "C++", 0, 0, 0, 0, 55, 0, 0, 0, 12, 67
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/ACPI/ecam.hpp", "C++", 0, 0, 0, 0, 19, 0, 0, 0, 8, 27
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/ACPI/mcfg.hpp", "C++", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/AVFS/avfs.hpp", "C++", 0, 0, 0, 0, 32, 0, 0, 0, 9, 41
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/AlopexIBus/AlopexIBus.hpp", "C++", 0, 0, 0, 0, 81, 0, 0, 0, 19, 100
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/AlopexOS.hpp", "C++", 0, 0, 0, 0, 30, 0, 0, 4, 11, 45
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/AlopexOS_ErrorCodes.hpp", "C++", 0, 0, 0, 0, 44, 0, 0, 5, 10, 59
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/PCI/nvme/nvme.hpp", "C++", 0, 0, 0, 0, 47, 0, 0, 1, 15, 63
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/PCI/nvme/nvme_regs.hpp", "C++", 0, 0, 0, 0, 113, 0, 0, 0, 11, 124
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/PCI/pci.hpp", "C++", 0, 0, 0, 0, 80, 0, 0, 0, 12, 92
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/PCI/pcie.hpp", "C++", 0, 0, 0, 0, 31, 0, 0, 0, 9, 40
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/SystemXABI/SystemX.hpp", "C++", 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/abtrfs/abtrfs.hpp", "C++", 0, 0, 0, 0, 43, 0, 0, 0, 10, 53
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/abtrfs/format.hpp", "C++", 0, 0, 0, 0, 67, 0, 0, 0, 13, 80
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/abtrfs/partition_header.hpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 6, 36
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/display.hpp", "C++", 0, 0, 0, 0, 42, 0, 0, 0, 9, 51
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/gaossd/gaossd.hpp", "C++", 0, 0, 0, 0, 70, 0, 0, 0, 17, 87
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/gaossd/readme.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/limine_requests.hpp", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"/home/fenn/Desktop/AlopexOS/include/arr.hpp", "C++", 0, 0, 0, 0, 205, 0, 0, 0, 43, 248
"/home/fenn/Desktop/AlopexOS/include/expected.hpp", "C++", 0, 0, 0, 0, 80, 0, 0, 2, 27, 109
"/home/fenn/Desktop/AlopexOS/include/memory.hpp", "C++", 0, 0, 0, 0, 36, 0, 0, 5, 12, 53
"/home/fenn/Desktop/AlopexOS/include/new.hpp", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 6, 18
"/home/fenn/Desktop/AlopexOS/include/primetives.h", "C++", 0, 0, 0, 0, 46, 0, 0, 0, 15, 61
"/home/fenn/Desktop/AlopexOS/include/primitives.hpp", "C++", 0, 0, 0, 0, 72, 0, 0, 0, 22, 94
"/home/fenn/Desktop/AlopexOS/include/string.hpp", "C++", 0, 0, 0, 0, 292, 0, 0, 1, 42, 335
"/home/fenn/Desktop/AlopexOS/limine.conf", "Properties", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/home/fenn/Desktop/AlopexOS/scripts/prepare_disk.py", "Python", 0, 0, 0, 129, 0, 0, 0, 12, 65, 206
"/home/fenn/Desktop/AlopexOS/serial.log", "log", 0, 0, 66, 0, 0, 0, 0, 0, 1, 67
"/home/fenn/Desktop/AlopexOS/src/ACPI/acpi.cpp", "C++", 0, 0, 0, 0, 23, 0, 0, 0, 9, 32
"/home/fenn/Desktop/AlopexOS/src/ACPI/ecam.cpp", "C++", 0, 0, 0, 0, 69, 0, 0, 0, 22, 91
"/home/fenn/Desktop/AlopexOS/src/ACPI/mcfg.cpp", "C++", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"/home/fenn/Desktop/AlopexOS/src/AVFS/avfs.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/fenn/Desktop/AlopexOS/src/AlopexIBus/AlopexIBus.cpp", "C++", 0, 0, 0, 0, 160, 0, 0, 0, 39, 199
"/home/fenn/Desktop/AlopexOS/src/AlopexOS.cpp", "C++", 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"/home/fenn/Desktop/AlopexOS/src/PCI/nvme/nvme.cpp", "C++", 0, 0, 0, 0, 467, 0, 0, 14, 114, 595
"/home/fenn/Desktop/AlopexOS/src/PCI/pcie.cpp", "C++", 0, 0, 0, 0, 150, 0, 0, 0, 35, 185
"/home/fenn/Desktop/AlopexOS/src/abtrfs/abtrfs.cpp", "C++", 0, 0, 0, 0, 325, 0, 0, 0, 85, 410
"/home/fenn/Desktop/AlopexOS/src/drivers/nvme/nvme.cpp", "C++", 0, 0, 0, 0, 139, 0, 0, 2, 37, 178
"/home/fenn/Desktop/AlopexOS/src/drivers/nvme/nvme_command.hpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 5, 35
"/home/fenn/Desktop/AlopexOS/src/drivers/nvme/nvme_completion.hpp", "C++", 0, 0, 0, 0, 22, 0, 0, 0, 5, 27
"/home/fenn/Desktop/AlopexOS/src/entry.s", "x86 and x86_64 Assembly", 0, 0, 0, 0, 0, 0, 17, 0, 10, 27
"/home/fenn/Desktop/AlopexOS/src/gaossd/gaossd.cpp", "C++", 0, 0, 0, 0, 127, 0, 0, 0, 27, 154
"/home/fenn/Desktop/AlopexOS/src/kernel/cxx_abi.cpp", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 9, 38
"/home/fenn/Desktop/AlopexOS/src/kernel/display.cpp", "C++", 0, 0, 0, 0, 166, 0, 0, 0, 36, 202
"/home/fenn/Desktop/AlopexOS/src/kernel/limine_requests.cpp", "C++", 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"/home/fenn/Desktop/AlopexOS/src/kernel/new.cpp", "C++", 0, 0, 0, 0, 130, 0, 0, 1, 37, 168
"/home/fenn/Desktop/AlopexOS/src/main.cpp", "C++", 0, 0, 0, 0, 171, 0, 0, 2, 33, 206
"Total", "-", 93, 4, 66, 129, 3600, 50, 17, 57, 994, 5010
